custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
248305,Adult 18+,Male,Injured,Victim,41.7404,-122.633,Irrelevant,Irrelevant,137623,1021
279006,Adult 18+,Female,Killed,Victim,44.9474,-123.008,Irrelevant,Irrelevant,155808,1128
248311,Adult 18+,Female,Unharmed,Victim,44.9474,-123.008,Irrelevant,Irrelevant,137626,1021
248354,Adult 18+,Male,Unharmed,Victim,29.9979,-90.1331,Irrelevant,Irrelevant,137655,1022
248388,Adult 18+,Male,Arrested,Victim,26.6358,-80.0566,Irrelevant,Irrelevant,137676,1022
248403,Adult 18+,Male,Killed,Victim,40.7645,-73.8318,Irrelevant,Irrelevant,137688,1022
248415,Adult 18+,Male,Killed,Victim,42.1204,-123.674,Irrelevant,Irrelevant,137696,1022
248425,Adult 18+,Female,Unharmed,Victim,35.908,-77.5268,Irrelevant,Irrelevant,137702,1022
248473,Adult 18+,Male,Killed,Victim,41.7687,-87.7176,Irrelevant,Irrelevant,137731,1022
264472,Adult 18+,Male,Injured,Victim,41.7687,-87.7176,Irrelevant,Irrelevant,147245,1076
248505,Adult 18+,Male,Killed,Victim,44.9001,-93.1643,Irrelevant,Irrelevant,137750,1022
248508,Adult 18+,Male,Killed,Victim,29.6552,-82.3336,Irrelevant,Irrelevant,137752,1022
248509,Adult 18+,Male,Injured,Victim,29.6552,-82.3336,Irrelevant,Irrelevant,137752,1022
248510,Child 0-11,Female,Injured,Victim,29.6552,-82.3336,Irrelevant,Irrelevant,137752,1022
248516,Teen 12-17,Male,Killed,Victim,38.9553,-92.3365,Irrelevant,Irrelevant,137753,1022
248538,Adult 18+,Female,Injured,Victim,36.1543,-96.0303,Irrelevant,Irrelevant,137765,1022
248543,Adult 18+,Male,Injured,Victim,32.4902,-80.9603,Irrelevant,Irrelevant,137767,1022
248548,Adult 18+,Male,Injured,Victim,38.3921,-90.3852,Irrelevant,Irrelevant,137768,1022
248588,Adult 18+,Male,Killed,Victim,44.0541,-91.6556,Irrelevant,Irrelevant,137795,1022
248589,Adult 18+,Male,Injured,Victim,44.0541,-91.6556,Irrelevant,Irrelevant,137795,1022
248624,Adult 18+,Male,Injured,Victim,37.2907,-80.0622,Irrelevant,Irrelevant,137815,1023
248702,Adult 18+,Male,Killed,Victim,40.2454,-75.6496,Irrelevant,Irrelevant,137867,1023
248742,Adult 18+,Female,Unharmed,Victim,36.0608,-95.9133,Irrelevant,Irrelevant,137892,1023
248797,Adult 18+,Male,Injured,Victim,42.0898,-76.8105,Irrelevant,Irrelevant,137928,1023
248798,Adult 18+,Male,Injured,Victim,42.0898,-76.8105,Irrelevant,Irrelevant,137928,1023
248799,Adult 18+,Male,Injured,Victim,42.0898,-76.8105,Irrelevant,Irrelevant,137928,1023
248800,Adult 18+,Male,Injured,Victim,42.0898,-76.8105,Irrelevant,Irrelevant,137928,1023
248801,Adult 18+,Male,Injured,Victim,42.0898,-76.8105,Irrelevant,Irrelevant,137928,1023
248852,Adult 18+,Male,Killed,Victim,39.9857,-74.5651,Irrelevant,Irrelevant,137959,1023
248956,Adult 18+,Male,Injured,Victim,32.1722,-81.0335,Irrelevant,Irrelevant,138017,1024
248992,Adult 18+,Female,Injured,Victim,26.7748,-80.0888,Irrelevant,Irrelevant,138040,1024
249005,Adult 18+,Male,Unharmed,Victim,47.1413,-122.098,Irrelevant,Irrelevant,138047,1024
251977,Adult 18+,Male,Injured,Victim,41.6945,-70.303,Irrelevant,Irrelevant,139810,1034
249068,Adult 18+,Female,Unharmed,Victim,39.9449,-82.8896,Irrelevant,Irrelevant,138090,1024
249084,Adult 18+,Male,Injured,Victim,40.709,-89.6382,Irrelevant,Irrelevant,138101,1024
249146,Adult 18+,Male,Killed,Victim,39.921,-75.1873,Irrelevant,Irrelevant,138136,1025
249170,Adult 18+,Female,Unharmed,Victim,33.9148,-118.06,Irrelevant,Irrelevant,138148,1025
249178,Adult 18+,Male,Killed,Victim,39.2461,-76.6221,Irrelevant,Irrelevant,138155,1025
249217,Adult 18+,Female,Killed,Victim,34.4277,-82.6283,Irrelevant,Irrelevant,138177,1025
249220,Adult 18+,Male,Killed,Victim,36.8258,-76.2607,Irrelevant,Irrelevant,138178,1025
249221,Adult 18+,Male,Injured,Victim,36.8258,-76.2607,Irrelevant,Irrelevant,138178,1025
249239,Adult 18+,Male,Killed,Victim,25.9509,-80.266,Irrelevant,Irrelevant,138188,1025
249238,Adult 18+,Female,Injured,Victim,25.9509,-80.266,Irrelevant,Irrelevant,138188,1025
249254,Adult 18+,Female,Killed,Victim,38.8653,-76.9777,Irrelevant,Irrelevant,138198,1025
249268,Adult 18+,Male,Injured,Victim,39.8881,-88.9399,Irrelevant,Irrelevant,138207,1025
371672,Adult 18+,Female,Injured,Victim,39.8881,-88.9399,Irrelevant,Irrelevant,211829,1455
249275,Adult 18+,Male,Killed,Victim,36.0718,-86.6381,Irrelevant,Irrelevant,138211,1025
249276,Adult 18+,Male,Injured,Victim,36.0718,-86.6381,Irrelevant,Irrelevant,138211,1025
249277,Adult 18+,Male,Injured,Victim,36.0718,-86.6381,Irrelevant,Irrelevant,138211,1025
249312,Adult 18+,Female,Killed,Victim,44.8317,-91.5078,Irrelevant,Irrelevant,138229,1025
249322,Adult 18+,Female,Injured,Victim,46.8823,-114.016,Irrelevant,Irrelevant,138236,1025
249346,Adult 18+,Male,Killed,Victim,47.9005,-122.323,Irrelevant,Irrelevant,138250,1025
249348,Adult 18+,Male,Killed,Victim,47.9005,-122.323,Irrelevant,Irrelevant,138250,1025
249349,Adult 18+,Male,Injured,Victim,47.9005,-122.323,Irrelevant,Irrelevant,138250,1025
249347,Adult 18+,Female,Killed,Victim,47.9005,-122.323,Irrelevant,Irrelevant,138250,1025
249354,Adult 18+,Female,Killed,Victim,29.6972,-95.435,Irrelevant,Irrelevant,138253,1025
249406,Adult 18+,Male,Killed,Victim,35.0415,-90.0147,Irrelevant,Irrelevant,138285,1025
249453,Adult 18+,Male,Unharmed,Victim,32.3051,-106.784,Irrelevant,Irrelevant,138314,1025
249489,Adult 18+,Male,Killed,Victim,35.3966,-77.9915,Irrelevant,Irrelevant,138336,1026
249494,Adult 18+,Male,Injured,Victim,30.465,-97.6701,Irrelevant,Irrelevant,138339,1026
